strategy,ts_iso,ticker,sport,side,entry,contracts,pnl_usd,won,edge_pp,reason
Pure Value,2025-03-03T01:02:31.339Z,KXLLM1-25MAR31-GOOG,Other,no,0.8900,1,-0.8900,0,6.26618181818182,"Pure value: 6.3pp edge, 49% confidence"
Pure Value,2025-03-06T19:02:13.144Z,KXTORNADO-25MAR-200,Other,no,0.8900,1,-0.8900,0,7.999999999999999,"Pure value: 8.0pp edge, 42% confidence"
Pure Value,2025-03-07T13:13:37.238Z,KXHIGHDEN-25MAR07-B32.5,Other,no,0.8900,1,-0.8900,0,7.999999999999999,"Pure value: 8.0pp edge, 52% confidence"
Pure Value,2025-03-04T15:43:46.300Z,KXHIGHNY-25MAR04-B51.5,Other,no,0.8800,1,-0.8800,0,4.607437688139671,"Pure value: 4.6pp edge, 41% confidence"
Pure Value,2025-03-01T01:42:08.122Z,KXBTCD-25FEB2821-T84499.99,Crypto,no,0.8700,1,-0.8700,0,7.891545454545456,"Pure value: 7.9pp edge, 44% confidence"
Pure Value,2025-03-05T13:01:10.321Z,KXARCTICICEMAX-25APR01-T14.2,Other,no,0.8700,1,-0.8700,0,5.5571313131313165,"Pure value: 5.6pp edge, 40% confidence"
Pure Value,2025-03-01T00:22:41.744Z,KXBTCD-25FEB2820-T83999.99,Crypto,yes,0.8600,1,-0.8600,0,4.795155080213909,"Pure value: 4.8pp edge, 52% confidence"
Pure Value,2025-03-01T00:25:24.382Z,KXBTCD-25FEB2820-T83999.99,Crypto,yes,0.8600,1,-0.8600,0,4.8573387974723214,"Pure value: 4.9pp edge, 44% confidence"
Pure Value,2025-03-01T00:28:55.334Z,KXBTCD-25FEB2820-T83999.99,Crypto,yes,0.8600,1,-0.8600,0,4.810765470880196,"Pure value: 4.8pp edge, 48% confidence"
Pure Value,2025-03-01T01:37:16.029Z,KXBTCD-25FEB2821-T84249.99,Crypto,no,0.8600,1,-0.8600,0,4.97899300699301,"Pure value: 5.0pp edge, 48% confidence"
Pure Value,2025-03-01T13:17:03.268Z,KXBTCD-25MAR0117-T85749.99,Crypto,yes,0.1300,1,0.8600,1,12.915885429638854,"Pure value: 12.9pp edge, 52% confidence"
Pure Value,2025-03-01T18:41:24.153Z,KXHIGHMIA-25MAR01-B80.5,Other,yes,0.1300,1,0.8600,1,6.660363636363639,"Pure value: 6.7pp edge, 43% confidence"
Pure Value,2025-03-01T21:29:59.139Z,KXBTCD-25MAR0117-T85749.99,Crypto,no,0.8600,1,-0.8600,0,10.999999999999998,"Pure value: 11.0pp edge, 55% confidence"
Pure Value,2025-03-01T23:48:40.581Z,KXBTCD-25MAR0119-T85999.99,Crypto,no,0.8600,1,-0.8600,0,5.121186602870812,"Pure value: 5.1pp edge, 43% confidence"
Pure Value,2025-03-02T01:46:20.429Z,KXBTCD-25MAR0121-T86249.99,Crypto,yes,0.1300,1,0.8600,1,6.590224767358629,"Pure value: 6.6pp edge, 44% confidence"
Pure Value,2025-03-02T03:50:35.584Z,KXBTC-25MAR0123-B85875,Crypto,yes,0.1300,1,0.8600,1,11.818037962037959,"Pure value: 11.8pp edge, 52% confidence"
Pure Value,2025-03-02T18:31:09.278Z,KXBTCD-25MAR0214-T93249.99,Crypto,no,0.1300,1,0.8600,1,4.6492226168762585,"Pure value: 4.6pp edge, 41% confidence"
Pure Value,2025-03-02T19:29:29.001Z,KXHIGHDEN-25MAR02-T65,Other,yes,0.1300,1,0.8600,1,8.564988344988345,"Pure value: 8.6pp edge, 53% confidence"
Pure Value,2025-03-02T21:14:54.635Z,KXHIGHDEN-25MAR02-T65,Other,yes,0.1300,1,0.8600,1,10.411916317991633,"Pure value: 10.4pp edge, 48% confidence"
Pure Value,2025-03-03T00:23:33.672Z,KXELONTWEETS-25MAR07-574.5,Other,no,0.8600,1,-0.8600,0,4.823107521919706,"Pure value: 4.8pp edge, 41% confidence"
Pure Value,2025-03-03T01:02:38.600Z,KXOSCARMENTION-25MAR-BRODY,Other,no,0.1300,1,0.8600,1,5.249062937062932,"Pure value: 5.2pp edge, 41% confidence"
Pure Value,2025-03-03T03:37:25.583Z,KXOSCARACTR-25-MM,Other,yes,0.1300,1,0.8600,1,5.083896103896104,"Pure value: 5.1pp edge, 50% confidence"
Pure Value,2025-03-03T16:28:57.546Z,KXSPACEXSTARSHIP-8-25MAR03,Other,no,0.1300,1,0.8600,1,4.80019698161791,"Pure value: 4.8pp edge, 43% confidence"
Pure Value,2025-03-03T17:39:30.209Z,KXHIGHNY-25MAR03-B39.5,Other,yes,0.1300,1,0.8600,1,4.784717131474103,"Pure value: 4.8pp edge, 46% confidence"
Pure Value,2025-03-03T18:44:12.602Z,KXDOGED-25MAR0317-T0.1999999,Other,yes,0.8600,1,-0.8600,0,4.603818181818187,"Pure value: 4.6pp edge, 53% confidence"
Pure Value,2025-03-03T20:19:57.070Z,KXDOGE-25MAR0317-B0.192,Other,yes,0.1300,1,0.8600,1,4.518363636363637,"Pure value: 4.5pp edge, 53% confidence"
Pure Value,2025-03-04T01:21:36.219Z,KXFOREIGNTARIFF-25JUL01-EU,Other,no,0.1300,1,0.8600,1,4.566488038277505,"Pure value: 4.6pp edge, 40% confidence"
Pure Value,2025-03-04T04:57:11.125Z,KXBTCD-25MAR0400-T83499.99,Crypto,no,0.1300,1,0.8600,1,5.726002101944294,"Pure value: 5.7pp edge, 42% confidence"
Pure Value,2025-03-04T13:27:51.669Z,KXRTWARFARE-90,Other,no,0.8600,1,-0.8600,0,5.0489350649350655,"Pure value: 5.0pp edge, 42% confidence"
Pure Value,2025-03-04T16:45:37.767Z,KXETHD-25MAR0417-T2139.99,Crypto,yes,0.1300,1,0.8600,1,5.29050821467689,"Pure value: 5.3pp edge, 41% confidence"
Pure Value,2025-03-04T17:37:09.156Z,KXBTC-25MAR0413-B85375,Crypto,no,0.8600,1,-0.8600,0,7.602519480519482,"Pure value: 7.6pp edge, 47% confidence"
Pure Value,2025-03-04T18:26:38.910Z,KXBTCD-25MAR0414-T86249.99,Crypto,yes,0.1300,1,0.8600,1,6.685870605367173,"Pure value: 6.7pp edge, 51% confidence"
Pure Value,2025-03-04T20:23:45.622Z,KXBTCD-25MAR0416-T87749.99,Crypto,no,0.1300,1,0.8600,1,5.003675479898584,"Pure value: 5.0pp edge, 41% confidence"
Pure Value,2025-03-05T02:57:45.844Z,KXBTCD-25MAR0422-T87499.99,Crypto,yes,0.8600,1,-0.8600,0,5.858117882117875,"Pure value: 5.9pp edge, 48% confidence"
Pure Value,2025-03-06T02:48:03.200Z,KXBTCD-25MAR0522-T91749.99,Crypto,yes,0.1300,1,0.8600,1,6.483324675324672,"Pure value: 6.5pp edge, 55% confidence"
Pure Value,2025-03-06T06:00:24.792Z,KXBORDERBILL-25-APR01,Other,no,0.8600,1,-0.8600,0,5.3331016042780774,"Pure value: 5.3pp edge, 42% confidence"
Pure Value,2025-03-06T07:10:31.975Z,KXBORDERBILL-25-APR01,Other,no,0.8600,1,-0.8600,0,5.113062937062937,"Pure value: 5.1pp edge, 50% confidence"
